token_index,gene_symbol,gene_id
0,,<pad>
1,,<mask>
2,,<sos>
3,,<eos>
4,TSPAN6,ENSG00000000003
5,TNMD,ENSG00000000005
6,DPM1,ENSG00000000419
7,SCYL3,ENSG00000000457
8,FIRRM,ENSG00000000460
9,FGR,ENSG00000000938
10,CFH,ENSG00000000971
11,FUCA2,ENSG00000001036
12,GCLC,ENSG00000001084
13,NFYA,ENSG00000001167
14,STPG1,ENSG00000001460
15,NIPAL3,ENSG00000001461
16,LAS1L,ENSG00000001497
17,ENPP4,ENSG00000001561
18,SEMA3F,ENSG00000001617
19,CFTR,ENSG00000001626
20,ANKIB1,ENSG00000001629
21,CYP51A1,ENSG00000001630
22,KRIT1,ENSG00000001631
23,RAD52,ENSG00000002016
24,BAD,ENSG00000002330
25,LAP3,ENSG00000002549
26,CD99,ENSG00000002586
27,HS3ST1,ENSG00000002587
28,AOC1,ENSG00000002726
29,WNT16,ENSG00000002745
30,HECW1,ENSG00000002746
31,MAD1L1,ENSG00000002822
32,LASP1,ENSG00000002834
33,SNX11,ENSG00000002919
34,TMEM176A,ENSG00000002933
35,M6PR,ENSG00000003056
36,KLHL13,ENSG00000003096
37,CYP26B1,ENSG00000003137
38,ICA1,ENSG00000003147
39,DBNDD1,ENSG00000003249
40,ALS2,ENSG00000003393
41,CASP10,ENSG00000003400
42,CFLAR,ENSG00000003402
43,TFPI,ENSG00000003436
44,NDUFAF7,ENSG00000003509
45,RBM5,ENSG00000003756
46,MTMR7,ENSG00000003987
47,SLC7A2,ENSG00000003989
48,ARF5,ENSG00000004059
49,SARM1,ENSG00000004139
50,POLDIP2,ENSG00000004142
51,PLXND1,ENSG00000004399
52,AK2,ENSG00000004455
53,CD38,ENSG00000004468
54,FKBP4,ENSG00000004478
55,KDM1A,ENSG00000004487
56,RBM6,ENSG00000004534
57,CAMKK1,ENSG00000004660
58,RECQL,ENSG00000004700
59,VPS50,ENSG00000004766
60,HSPB6,ENSG00000004776
61,ARHGAP33,ENSG00000004777
62,NDUFAB1,ENSG00000004779
63,PDK4,ENSG00000004799
64,SLC22A16,ENSG00000004809
65,ZMYND10,ENSG00000004838
66,ABCB5,ENSG00000004846
67,ARX,ENSG00000004848
68,SLC25A13,ENSG00000004864
69,ST7,ENSG00000004866
70,CDC27,ENSG00000004897
71,SLC4A1,ENSG00000004939
72,CALCR,ENSG00000004948
73,HCCS,ENSG00000004961
74,DVL2,ENSG00000004975
75,PRSS22,ENSG00000005001
76,UPF1,ENSG00000005007
77,SKAP2,ENSG00000005020
78,SLC25A5,ENSG00000005022
79,MCUB,ENSG00000005059
80,HOXA11,ENSG00000005073
81,POLR2J,ENSG00000005075
82,DHX33,ENSG00000005100
83,MEOX1,ENSG00000005102
